timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,smooth_accel_x,smooth_accel_y,smooth_accel_z,smooth_gyro_x,smooth_gyro_y,smooth_gyro_z,smooth_mag_x,smooth_mag_y,smooth_mag_z
4.71E+12,-0.8948517,2.7442322,7.328171,0.19616699,-0.21907043,0.06588745,20.895386,5.9921265,-51.24359,,-0.900583105,2.671341582,7.38097664,0.209511373,-0.135533654,0.058269815,20.86834228,5.989439829,-51.19908317
4.71E+12,-0.8430481,2.7594757,7.6235046,0.15708923,-0.28308105,0.08111572,19.360352,6.7581177,-50.24414,,-0.871815602,2.715408641,7.50224062,0.183300301,-0.209307352,0.069692768,20.11434714,6.373778764,-50.72161159
4.71E+12,-0.7442932,2.8121033,7.8940125,0.10812378,-0.32965088,0.094192505,19.360352,6.7581177,-50.24414,,-0.808054401,2.76375597,7.69812656,0.145712041,-0.269479116,0.081942636,19.73734957,6.565948232,-50.48287579
4.71E+12,-0.67674255,2.8379364,8.168396,0.0592041,-0.3640747,0.1081543,19.360352,6.7581177,-50.24414,,-0.742398476,2.800846185,7.93326128,0.10245807,-0.316776908,0.095048468,19.54885078,6.662032966,-50.3635079
4.71E+12,-0.65200806,2.8126068,8.598846,0.018585205,-0.38417053,0.11567688,18.190002,5.0872803,-50.531006,,-0.697203268,2.806726493,8.26605364,0.060521638,-0.350473719,0.105362674,18.86942639,5.874656633,-50.44725695
4.71E+12,-0.63442993,2.7051697,8.907166,-0.010742188,-0.39523315,0.12173462,18.190002,5.0872803,-50.531006,,-0.665816599,2.755948096,8.58660982,0.024889725,-0.372853435,0.113548647,18.5297142,5.480968467,-50.48913147
4.71E+12,-0.52601624,2.6207123,9.101822,-0.03236389,-0.39227295,0.1257019,18.190002,5.0872803,-50.531006,,-0.595916419,2.688330198,8.84421591,-0.003737082,-0.382563192,0.119625274,18.3598581,5.284124383,-50.51006874
4.71E+12,-0.37876892,2.6653748,9.140457,-0.04598999,-0.3713684,0.1335907,18.190002,5.0872803,-50.531006,,-0.48734267,2.676852499,8.992336455,-0.024863536,-0.376965796,0.126607987,18.27493005,5.185702342,-50.52053737
4.71E+12,-0.26315308,2.739441,9.14798,-0.05583191,-0.33035278,0.14312744,17.977905,4.446411,-50.74005,,-0.375247875,2.70814675,9.070158228,-0.040347723,-0.353659288,0.134867713,18.12641752,4.816056671,-50.63029368
4.71E+12,-0.066711426,2.8613281,9.090851,-0.066604614,-0.27201843,0.15022278,17.977905,4.446411,-50.74005,,-0.22097965,2.784737425,9.080504614,-0.053476169,-0.312838859,0.142545247,18.05216126,4.631233835,-50.68517184
