timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,smooth_accel_x,smooth_accel_y,smooth_accel_z,smooth_gyro_x,smooth_gyro_y,smooth_gyro_z,smooth_mag_x,smooth_mag_y,smooth_mag_z
8.05E+12,-0.19859314,1.9507294,8.752197,-0.014633179,0.02961731,0.017715454,16.583252,-21.711731,-46.925354,,-0.235821063,1.918180884,8.916582278,-0.036378217,0.074421572,0.016733458,16.63537189,-21.69508469,-46.94819116
8.05E+12,-0.16789246,2.0205994,8.614548,-0.002105713,-0.019241333,0.016098022,16.583252,-21.711731,-46.925354,,-0.201856762,1.969390142,8.765565139,-0.019241965,0.027590119,0.01641574,16.60931194,-21.70340784,-46.93677258
8.05E+12,-0.17100525,2.014267,8.6094055,0.003509522,-0.07763672,0.008468628,16.583252,-21.711731,-47.192383,,-0.186431006,1.991828571,8.687485319,-0.007866222,-0.0250233,0.012442184,16.59628197,-21.70756942,-47.06457779
8.05E+12,-0.19384766,2.0135956,8.657455,0.006698608,-0.13664246,-0.001373291,16.583252,-21.711731,-47.192383,,-0.190139333,2.002712085,8.67247016,-0.000583807,-0.08083288,0.005534446,16.58976699,-21.70965021,-47.12848039
8.05E+12,-0.18836975,1.9554901,8.725494,0.00428772,-0.19024658,-0.011749268,16.583252,-21.711731,-47.192383,,-0.189254541,1.979101093,8.69898208,0.001851957,-0.13553973,-0.003107411,16.58650949,-21.71069061,-47.1604317
8.05E+12,-0.20347595,1.8810883,8.865036,-0.002822876,-0.23808289,-0.023727417,16.583252,-21.711731,-47.192383,,-0.196365246,1.930094696,8.78200904,-0.00048546,-0.18681131,-0.013417414,16.58488075,-21.7112108,-47.17640735
8.05E+12,-0.2722168,1.8397522,9.066559,-0.011077881,-0.27781677,-0.034057617,15.892029,-21.298218,-46.855164,,-0.234291023,1.884923448,8.92428402,-0.00578167,-0.23231404,-0.023737515,16.23845487,-21.5047144,-47.01578567
8.05E+12,-0.30439758,1.8084259,9.238464,-0.018676758,-0.3115387,-0.03981018,15.892029,-21.298218,-46.855164,,-0.269344301,1.846674674,9.08137401,-0.012229214,-0.27192637,-0.031773848,16.06524194,-21.4014662,-46.93547484
8.05E+12,-0.29795837,1.7694092,9.418564,-0.02619934,-0.33700562,-0.04411316,15.892029,-21.298218,-46.855164,,-0.283651336,1.808041937,9.249969005,-0.019214277,-0.304465995,-0.037943504,15.97863547,-21.3498421,-46.89531942
8.05E+12,-0.30342102,1.7147522,9.544174,-0.03024292,-0.35131836,-0.045837402,15.892029,-21.298218,-46.855164,,-0.293536178,1.761397069,9.397071502,-0.024728599,-0.327892178,-0.041890453,15.93533223,-21.32403005,-46.87524171
8.05E+12,-0.2843933,1.6171722,9.716888,-0.034057617,-0.35295105,-0.04475403,15.725708,-21.195984,-46.757507,,-0.288964739,1.689284634,9.556979751,-0.029393108,-0.340421614,-0.043322241,15.83052012,-21.26000703,-46.81637435
8.05E+12,-0.2501068,1.5673065,9.974304,-0.03515625,-0.34243774,-0.042770386,15.725708,-21.195984,-46.757507,,-0.269535769,1.628295567,9.765641876,-0.032274679,-0.341429677,-0.043046314,15.77811406,-21.22799551,-46.78694068
8.05E+12,-0.2136383,1.5428925,10.178711,-0.034500122,-0.32395935,-0.03831482,15.725708,-21.195984,-46.757507,,-0.241587035,1.585594034,9.972176438,-0.0333874,-0.332694513,-0.040680567,15.75191103,-21.21198976,-46.77222384
8.05E+12,-0.21873474,1.5780487,10.270828,-0.02734375,-0.29830933,-0.03186035,15.725708,-21.195984,-46.757507,,-0.230160887,1.581821367,10.12150222,-0.030365575,-0.315501922,-0.036270458,15.73880951,-21.20398688,-46.76486542
8.05E+12,-0.23078918,1.6338043,10.272614,-0.011077881,-0.2642975,-0.024490356,15.725708,-22.691345,-47.340393,,-0.230475034,1.607812833,10.19705811,-0.020721728,-0.289899711,-0.030380407,15.73225876,-21.94766594,-47.05262921
8.05E+12,-0.28147888,1.6585846,10.164749,0.008056641,-0.2260437,-0.01789856,15.725708,-22.691345,-47.340393,,-0.255976957,1.633198717,10.18090355,-0.006332544,-0.257971705,-0.024139484,15.72898338,-22.31950547,-47.1965111
